date,ticker,market_cap,pe_ratio,pb_ratio,roe,dividend_yield,eps,revenue_growth,debt_to_equity,bond_yield,duration
2021-06-30,000270,60006477792600.0,25.02301165891062,1.0398766209371284,0.04155681318906438,,3580.704082359875,,0.9775863937425495,,
2021-09-30,000270,60006477792600.0,26.83910655230461,0.9014836131595917,0.033588436016033604,,3025.436030881123,-0.031992654539867,0.9091341336518765,,
2021-12-31,000270,60006477792600.0,6.476116364235079,0.8830154963717995,0.1363495414085408,0.0364963503649635,12692.792312064792,2.9352955894975667,0.9147838101570106,,
2022-03-31,000270,60006477792600.0,26.877280428166962,0.7964218999518411,0.029631788903657214,,2753.254749779266,-0.7372371270678122,0.9569512564645618,,
2022-06-30,000270,60006477792600.0,15.41261998937242,0.7642229930421598,0.0495842363964803,,5015.370524498836,0.19168179784799846,0.917393664462726,,
2022-09-30,000270,60006477792600.0,58.76161422122626,0.6846246130349327,0.0116508816530712,,1223.5878975228663,0.05877056776051765,0.9259388620877044,,
2022-12-31,000270,60006477792600.0,4.111665652035131,0.5652811184737254,0.13748226784780784,0.05902192242833052,14422.378913676643,2.7371705588479713,0.8735432794396555,,
2023-03-31,000270,60006477792600.0,14.33041129029772,0.7588579041901309,0.05295437017246735,,5652.3150912521505,-0.726306310575642,0.9387858255300353,,
2023-06-30,000270,60006477792600.0,11.78279017201527,0.7730092657481147,0.06560494199277615,,7510.954426583276,0.10778737274520844,0.8258402440179501,,
2023-09-30,000270,60006477792600.0,13.745261976891205,0.6732241190302273,0.04897863133944369,,5922.040637483026,-0.02662765971958619,0.8004553083895862,,
2023-12-31,000270,60006477792600.0,4.272594042502253,0.8055298621258946,0.18853414438927937,0.056,23404.985122676153,2.9071007405171154,0.7317629416149474,,
2024-03-31,000270,60006477792600.0,14.712957104266227,0.8740435375291702,0.05940638114656973,,7489.996689247872,-0.7373683402662822,0.7685990026764733,,
2024-06-30,000270,60006477792600.0,16.40139823966164,0.9539856047017737,0.058164894892610966,,7883.474208151869,0.05169433878062329,0.6927589080882282,,
2024-09-30,000270,60006477792600.0,16.52027417795772,0.7167421318579867,0.04338560753515244,,6047.11513403889,-0.03801630642471335,0.674566172715585,,
2024-12-31,000270,60006477792600.0,3.8635864596199823,0.6763318046953792,0.17505284578564922,0.06454816285998013,26063.866061355006,3.0516308578655926,0.6610917034860964,,
2025-03-31,000270,60006477792600.0,14.468102297763563,0.6179685603792199,0.0427124820975826,,6379.551243169428,-0.7392476927047045,0.7188929419640162,,
2025-06-30,000270,60006477792600.0,16.02198687480475,0.6385708450292014,0.03985590863473874,,6047.939045086808,0.04754615952666743,0.6457794351621012,,
2025-09-30,000270,60006477792600.0,26.550185566355207,0.6427341013890939,0.024208271531012435,,3792.81718194876,-0.02261009378821917,0.6675430449211788,,
2025-12-31,000270,60006477792600.0,6.046978957542778,0.7465204254639538,0.12345345183197173,0.05582922824302135,20142.289373782456,2.9789713371700666,0.6175568631086046,,
2026-03-31,000270,60006477792600.0,,,,,,,,,
2021-06-30,000660,917960646120000.0,48.128108575139365,1.743851119783834,0.0362335269640042,,2649.179528859779,,0.41619368732986584,,
2021-09-30,000660,917960646120000.0,23.319449019348863,1.3167091792076921,0.05646399184282519,,4416.913963727777,0.14374155115000276,0.4182037585775739,,
